job,company_name,location,job_type,description,link,date
Associate IT Support Analyst,Maersk,Tanger,None,"We're leading a digital revolution in global trade, creating opportunity for millions of customers around the world through new technology, data science, and…",https://ma.indeed.com/rc/clk?jk=5fde279148e7b686&fccid=14e7391c55beeb80&vjs=3,28/10/2023
Quantitative Risk Analyst,CIH Bank,Casablanca,Permanent,"Contexte du recrutement et définition de poste.-Rattaché au Responsable DATA et Modélisation, vous aurez pour missions:",https://ma.indeed.com/rc/clk?jk=36b5a13c5e53dcee&fccid=53ca5da7884044de&vjs=3,28/10/2023
DATA ANALYST (H/F),label vie,Skhirate,Permanent,De 5 à 8 ans.-Analyse des données pour les transformer en informations exploitables.-Définition de la stratégie Data-Driven de l’entreprise.,https://ma.indeed.com/rc/clk?jk=fbb7892526385d06&fccid=b89b9e746240a0c4&vjs=3,28/10/2023
Quantitative Risk Analyst,CIH Bank,Casablanca,Permanent,Fournir une vision transverse de la donnée risques et faciliter son usage auprès des différents métiers/banques.,https://ma.indeed.com/rc/clk?jk=36b5a13c5e53dcee&fccid=53ca5da7884044de&vjs=3,28/10/2023
Financial Analyst,Pfizer,El Jadida,Full-time,"Strong analytical and numerical skills, preferably with a background in data analysis.-The candidate must be a self-starter with a clear sense of initiative,…",https://ma.indeed.com/rc/clk?jk=b4cb909a2e01ad2d&fccid=7ff126af0cd3d93b&vjs=3,28/10/2023
Data Scientist - Rabat,Sofrecom Maroc,Maroc,None,You have small knowledge on data visualization tools such as Tableau and Data Studio.-You will help the data team develop and migrate some Machine Learning…,https://ma.indeed.com/rc/clk?jk=ab7bf7382e7ee8fc&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
First Choice and QHSE Support,DHL Express,Casablanca,Permanent,Act as an analyst for the function in term of data mining and visual presentations.-Morocco-Casablanca-Settat-Casablanca | Full-time | Permanent | Mixed Shift.,https://ma.indeed.com/rc/clk?jk=2016524bd6cd4f70&fccid=5b8d10630cb111eb&vjs=3,28/10/2023
Business Analyst,Wexus Recruitment,Casablanca,None,Dans le cadre de l’accompagnement notre client dans le recrutement de ses futurs talents nous recrutons des Business Analyst.,https://ma.indeed.com/rc/clk?jk=2de6fae23672aac0&fccid=35a724040d82d873&vjs=3,28/10/2023
LEAD DATA ANALYST (H/F),label vie,Casablanca,Permanent,Identifier et comprendre les besoins des métiers.-Collaborer avec d'autres équipes et parties prenantes pour assurer la cohérence et l'intégration des données.,https://ma.indeed.com/rc/clk?jk=c46a97de5438abff&fccid=b89b9e746240a0c4&vjs=3,28/10/2023
Application Specialist (Navision)- Digital & IT,IKEA,Maroc,Full-time,Experience with converting data from legacy systems into Dynamics NAV.-The Application Specialist’s primary responsibility is to carry out the configuration and…,https://ma.indeed.com/rc/clk?jk=3d9a6060d6f96c0b&fccid=af17ea0d1d6bbbba&vjs=3,28/10/2023
"Data Steward, Inventory",Maersk,Tanger,Full-time,Accountable for data quality with regards to the key/critical data elements existing within a specific data domain.,https://ma.indeed.com/rc/clk?jk=46081b8082a068b4&fccid=14e7391c55beeb80&vjs=3,28/10/2023
